analysiscondition,ntrials,repeat,alpha,alpha_se,beta,beta_se,psuedoR2,BIC
all,12600,1,0.154190,0.040393,2.734001,0.234048,0.520583,8149.042008
all,12600,2,0.154190,0.005176,2.734001,0.021891,0.520583,8149.042008
all,12600,3,0.154191,0.002241,2.734001,0.003477,0.520583,8149.042008
all,12600,4,0.154190,0.020370,2.734001,0.497526,0.520583,8149.042008
all,12600,5,0.154190,0.023259,2.734001,0.044346,0.520583,8149.042008
all,12600,6,0.154191,0.076811,2.734001,0.097000,0.520583,8149.042008
all,12600,7,0.154190,0.001454,2.734001,0.038555,0.520583,8149.042008
all,12600,8,0.154191,0.128114,2.734001,0.465728,0.520583,8149.042008
all,12600,9,0.154191,0.008277,2.734001,0.151679,0.520583,8149.042008
all,12600,10,0.154190,0.006843,2.734001,0.009220,0.520583,8149.042008
3000_money,3100,1,0.188257,0.025421,2.542223,0.505546,0.460485,2255.301534
3000_money,3100,2,0.188257,0.045644,2.542223,0.105416,0.460485,2255.301534
3000_money,3100,3,0.188257,0.045186,2.542223,0.038385,0.460485,2255.301534
3000_money,3100,4,0.188257,0.071377,2.542223,0.740246,0.460485,2255.301534
3000_money,3100,5,0.188257,0.581175,2.542223,3.770343,0.460485,2255.301534
3000_money,3100,6,0.188257,0.018627,2.542223,1.247298,0.460485,2255.301534
3000_money,3100,7,0.188257,0.051532,2.542223,0.584272,0.460485,2255.301534
3000_money,3100,8,0.188257,0.035409,2.542223,0.240054,0.460485,2255.301534
3000_money,3100,9,0.188257,0.029994,2.542223,0.090381,0.460485,2255.301534
3000_money,3100,10,0.188257,0.089628,2.542223,1.423976,0.460485,2255.301534
4000_social,3200,1,0.202921,0.009748,3.317672,0.055383,0.626576,1638.493813
4000_social,3200,2,0.202921,0.306499,3.317672,1.256098,0.626576,1638.493813
4000_social,3200,3,0.202921,0.096922,3.317672,0.547856,0.626576,1638.493813
4000_social,3200,4,0.202921,0.555548,3.317672,0.816385,0.626576,1638.493813
4000_social,3200,5,0.202921,0.036252,3.317672,0.102690,0.626576,1638.493813
4000_social,3200,6,0.202921,0.065120,3.317672,1.898635,0.626576,1638.493813
4000_social,3200,7,0.202921,0.022449,3.317672,0.026016,0.626576,1638.493813
4000_social,3200,8,0.202921,0.036390,3.317672,0.258341,0.626576,1638.493813
4000_social,3200,9,0.202921,0.161446,3.317672,0.065225,0.626576,1638.493813
4000_social,3200,10,0.202921,0.055143,3.317672,0.010690,0.626576,1638.493813
3000_social,3100,1,0.236045,0.046605,2.041824,0.037282,0.345886,2712.802039
3000_social,3100,2,0.236045,0.036505,2.041823,0.264354,0.345886,2712.802039
3000_social,3100,3,0.236045,0.029687,2.041824,0.135228,0.345886,2712.802039
3000_social,3100,4,0.236045,0.017693,2.041823,0.034023,0.345886,2712.802039
3000_social,3100,5,0.236045,0.022612,2.041824,0.048288,0.345886,2712.802039
3000_social,3100,6,0.236044,0.014064,2.041823,0.452668,0.345886,2712.802039
3000_social,3100,7,0.236045,0.477212,2.041824,3.247962,0.345886,2712.802039
3000_social,3100,8,0.236045,0.216272,2.041824,0.088010,0.345886,2712.802039
3000_social,3100,9,0.236045,0.026331,2.041824,0.129462,0.345886,2712.802039
3000_social,3100,10,0.236045,30.218850,2.041823,28.136421,0.345886,2712.802039
4000_money,3200,1,0.261991,0.028821,3.788550,0.170709,0.708909,1279.574456
4000_money,3200,2,0.261991,0.040721,3.788550,0.118142,0.708909,1279.574456
4000_money,3200,3,0.261991,0.078619,3.788550,0.286877,0.708909,1279.574456
4000_money,3200,4,0.261991,0.035782,3.788550,0.119072,0.708909,1279.574456
4000_money,3200,5,0.261991,0.006011,3.788550,0.047217,0.708909,1279.574456
4000_money,3200,6,0.261991,0.035599,3.788550,0.116651,0.708909,1279.574456
4000_money,3200,7,0.261991,0.012359,3.788550,0.052567,0.708909,1279.574456
4000_money,3200,8,0.261991,0.018511,3.788550,0.063163,0.708909,1279.574456
4000_money,3200,9,0.261991,0.074519,3.788550,0.459046,0.708909,1279.574456
4000_money,3200,10,0.261991,0.025233,3.788551,0.555652,0.708909,1279.574456
